Maske,Kennung,Komponente,Bezeichnung,Kosten ( € /dt ),kg Frischmasse,% der Ration                         TS,TS in %,MJ NEL,NDF,Grundfutter NDF,ADF,Lignin,NFC,Staerke,Zucker,Rohprotein,loesl. Protein,Asche,Kalzium,Phosphor,Magnesium,Kalium,Natrium,Schwefel,Kationen,Anionen
,FK 01,Biertreber,,,,,23.7,6.76,536,,298,0,202,0,0,257,0.11,0.0401,0.0033,0.0058,0.0015,0.0009,0.0039,0.0032,0,0
,FK 02,Kartoffeln,,,,,19.9,7.82,0.26,0,104,0,589,0.7,0,99,0.4,0.03,0.0007,0.0021,0.0014,0.02,0.00016,0.0013,0,0
,FK 03,Kartoffelpülpe,,,,,18,6.8,0.42,0,0.25,0,292,0.05,0,0.1,0,0.02,1,0.0022,0.0007,12,1,0,0,0
,FK 04,Kartoffelstärke,,,,,69.7,7.92,18,0,18,0,0.94,0.8,0,7,0.35,0.01,0.0008,0.0011,0.0001,0.0015,0.0001,0.0002,0,0
,FK 05,LKS,,,,,58.5,7.88,0.2276,0.0228,0.0714,0,625,0.6,0,96,0.5,0.04,0.00036,0.0029,0.0019,0.00482,0.00002,0.0009,0,0
,FK 06,Maiskleberfutter,,,,,45,7.75,401,0,0.1,0,0.2584,0.2,0,0.2,0.35,0.0674,0.0056,0.0102,0.00416,0.0132,0.00135,0,0,0
,FK 07,Maisschrot feucht,,,,,62.5,8.62,92,0,37,0,764,0.7,0,91,239,0.02,0.0003,0.0029,0.0014,0.0037,0.0003,0.0012,0,0
,FK 08,melassiertePressschnitzel,,,,,31.5,6.47,362,,234,0,448,0,0,99,0.35,0.04,0.0069,1,0.0027,2,0.0021,0.0022,0,0
,FK 09,Möhrentrester,,,,,16,7.18,273,0,0.22,0,548,0,0,69,0.39,0.05,0.0045,0.0028,0.0009,22,0.00311,1,0,0
,FK 10,Pressschnitzel,,,,,24,7.82,444,,267,0,373,0,0,102,0.14,0.04,0.0069,1,0.0027,2,0.0021,0.0022,0,0
,FK 11,Rübenblattsilage,,,,,18.2,6,409,409,261,0,174,0,0,188,0.53,209,0.0136,0.0024,6,41,0.0056,0.0023,0,0
,FK 12,Runkeln,,,,,15.8,7.32,209,0,0.1582,0,0.67,0,0,0.0506,0.63,0.05,0.00126,0.0019,0.0013,19,0.0007,0.0006,0,0
,FK 13,Sodagrain,,,,,65.9,7.52,238,0,67,0,723,0.6,0,0.15,0.4,0.04,0.0009,0.0038,0.0012,0.0059,0.0196,0.0016,0,0
,FK16,Rübenmelasse,,,0,,77,7.55,0.01,0,,0,0.62,,,0.08,0,0.11,0.02,0,,0.06,0.12,,,
,,Pressschlempe,0,,0,,34,7.73,0.51,0,0,0.09,0.2,0.02,0,0.22,0,0,0,0,0,0,0,0,,
,FK 06,Protiwanze,,"3,87",,,30,8.65,0.14,0,,0.01,0,0,0,0.38,0.63,0.04,0,0.01,0,0.01,0,0,,
